,Base,Compo2,Compo3,UNXP,DynEvo,NB_TO_EXPLAIN,NB_STEPS,ALL_UNXP
model1.csv,90,0,0,0,0,90,1,0
model2.csv,85,3,2,0,0,90,1,0
model3.csv,86,0,4,0,0,90,1,0
model4.csv,84,0,5,1,1,90,2,0
model5.csv,86,4,0,0,0,90,1,0
model6.csv,86,4,0,0,0,90,1,0
model7.csv,90,0,0,0,0,90,1,0
model8.csv,89,1,0,0,0,90,1,0
model9.csv,90,0,0,0,0,90,1,0
model10.csv,90,0,0,0,0,90,1,0
model11.csv,90,0,0,0,0,90,1,0
model12.csv,89,1,0,0,0,90,1,0
model13.csv,83,5,2,0,0,90,1,0
model14.csv,83,6,1,0,0,90,1,0
model15.csv,87,2,1,0,0,90,1,0
model16.csv,87,2,1,0,0,90,1,0
model17.csv,87,2,1,0,0,90,1,0
model18.csv,86,4,0,0,0,90,1,0
model19.csv,85,3,2,0,0,90,1,0
model20.csv,86,4,0,0,0,90,1,0
model21.csv,88,0,2,0,0,90,1,0
model22.csv,87,3,0,0,0,90,1,0
model23.csv,84,0,4,2,2,90,2,0
model24.csv,85,2,3,0,0,90,1,0
model25.csv,87,0,3,0,0,90,1,0
model26.csv,86,2,2,0,0,90,1,0
model27.csv,89,1,0,0,0,90,1,0
model28.csv,84,4,0,2,2,90,2,0
model29.csv,90,0,0,0,0,90,1,0
model30.csv,87,2,1,0,0,90,1,0
model31.csv,89,1,0,0,0,90,1,0
model32.csv,80,6,4,0,0,90,1,0
model33.csv,83,1,6,0,0,90,1,0
model34.csv,81,1,8,0,0,90,1,0
model35.csv,81,7,1,1,1,90,2,0
model36.csv,81,7,0,2,2,90,2,0
model37.csv,85,3,2,0,0,90,1,0
model38.csv,83,5,2,0,0,90,1,0
model39.csv,85,3,2,0,0,90,1,0
model40.csv,84,4,2,0,0,90,1,0
model41.csv,84,4,2,0,0,90,1,0
model42.csv,83,5,2,0,0,90,1,0
model43.csv,78,8,4,0,0,90,1,0
model44.csv,77,10,3,0,0,90,1,0
model45.csv,82,5,3,0,0,90,1,0
model46.csv,81,6,3,0,0,90,1,0
model47.csv,81,6,3,0,0,90,1,0
model48.csv,80,8,2,0,0,90,1,0
model49.csv,82,6,2,0,0,90,1,0
model50.csv,82,8,0,0,0,90,1,0
model51.csv,84,4,2,0,0,90,1,0
model52.csv,83,7,0,0,0,90,1,0
model53.csv,81,3,6,0,0,90,1,0
model54.csv,81,6,3,0,0,90,1,0
model55.csv,83,4,3,0,0,90,1,0
model56.csv,82,6,2,0,0,90,1,0
model57.csv,83,3,4,0,0,90,1,0
model58.csv,78,7,3,2,2,90,2,0
model59.csv,83,1,6,0,0,90,1,0
model60.csv,80,4,6,0,0,90,1,0
model61.csv,82,6,2,0,0,90,1,0
model62.csv,75,7,3,5,5,90,2,0
model63.csv,84,5,1,0,0,90,1,0
model64.csv,79,6,3,2,2,90,2,0
model65.csv,90,0,0,0,0,90,1,0
model66.csv,83,3,4,0,0,90,1,0
model67.csv,84,0,5,1,1,90,2,0
model68.csv,82,0,6,2,2,90,2,0
model69.csv,82,4,3,1,1,90,2,0
model70.csv,81,4,3,2,2,90,2,0
model71.csv,88,0,2,0,0,90,1,0
model72.csv,87,1,2,0,0,90,1,0
model73.csv,88,0,2,0,0,90,1,0
model74.csv,88,0,2,0,0,90,1,0
model75.csv,88,0,2,0,0,90,1,0
model76.csv,87,1,2,0,0,90,1,0
model77.csv,80,8,2,0,0,90,1,0
model78.csv,80,9,1,0,0,90,1,0
model79.csv,84,5,1,0,0,90,1,0
model80.csv,84,5,1,0,0,90,1,0
model81.csv,84,5,1,0,0,90,1,0
model82.csv,83,7,0,0,0,90,1,0
model83.csv,83,5,2,0,0,90,1,0
model84.csv,83,5,2,0,0,90,1,0
model85.csv,85,3,2,0,0,90,1,0
model86.csv,84,6,0,0,0,90,1,0
model87.csv,82,2,6,0,0,90,1,0
model88.csv,82,4,4,0,0,90,1,0
model89.csv,84,3,3,0,0,90,1,0
model90.csv,83,5,2,0,0,90,1,0
model91.csv,81,7,1,1,1,90,2,0
model92.csv,85,2,3,0,0,90,1,0
model93.csv,84,5,1,0,0,90,1,0
model94.csv,84,2,4,0,0,90,1,0
model95.csv,86,0,4,0,0,90,1,0
model96.csv,85,2,3,0,0,90,1,0
model97.csv,82,4,4,0,0,90,1,0
model98.csv,77,7,4,2,2,90,2,0
model99.csv,82,1,7,0,0,90,1,0
model100.csv,79,4,7,0,0,90,1,0
model101.csv,90,0,0,0,0,90,1,0
model102.csv,85,1,4,0,0,90,1,0
model103.csv,82,0,6,2,2,90,2,0
model104.csv,78,0,5,7,7,90,2,0
model105.csv,80,4,0,6,6,90,2,0
model106.csv,84,0,6,0,0,90,1,0
model107.csv,84,0,5,1,1,90,2,0
model108.csv,84,0,6,0,0,90,1,0
model109.csv,84,0,5,1,1,90,2,0
model110.csv,83,1,6,0,0,90,1,0
model111.csv,80,8,2,0,0,90,1,0
model112.csv,84,5,1,0,0,90,1,0
model113.csv,84,5,1,0,0,90,1,0
model114.csv,84,5,1,0,0,90,1,0
model115.csv,83,7,0,0,0,90,1,0
model116.csv,85,3,2,0,0,90,1,0
model117.csv,86,2,2,0,0,90,1,0
model118.csv,88,0,2,0,0,90,1,0
model119.csv,87,3,0,0,0,90,1,0
model120.csv,84,0,4,2,2,90,2,0
model121.csv,85,1,4,0,0,90,1,0
model122.csv,87,0,0,3,3,90,2,0
model123.csv,86,2,2,0,0,90,1,0
model124.csv,80,3,3,4,4,90,2,0
model125.csv,81,5,3,1,1,90,2,0
model126.csv,85,2,3,0,0,90,1,0
model127.csv,84,5,1,0,0,90,1,0
model128.csv,83,0,7,0,0,90,1,0
model129.csv,84,1,5,0,0,90,1,0
model130.csv,86,0,4,0,0,90,1,0
model131.csv,85,2,3,0,0,90,1,0
model132.csv,79,3,4,4,4,90,2,0
model133.csv,80,5,3,2,2,90,2,0
model134.csv,82,3,5,0,0,90,1,0
model135.csv,81,5,3,1,1,90,2,0
model136.csv,78,0,4,8,8,90,2,0
model137.csv,79,2,5,4,4,90,2,0
model138.csv,81,0,4,5,5,90,2,0
model139.csv,80,2,5,3,3,90,2,0
model140.csv,85,3,2,0,0,90,1,0
model141.csv,81,3,2,4,4,90,2,0
model142.csv,86,3,0,1,1,90,2,0
model143.csv,82,3,1,4,4,90,2,0
model144.csv,84,2,4,0,0,90,1,0
model145.csv,81,4,1,4,4,90,2,0
model146.csv,89,1,0,0,0,90,1,0
model147.csv,80,6,4,0,0,90,1,0
model148.csv,83,1,6,0,0,90,1,0
model149.csv,79,5,6,0,0,90,1,0
model150.csv,78,5,7,0,0,90,1,0
model151.csv,87,3,0,0,0,90,1,0
model152.csv,85,5,0,0,0,90,1,0
model153.csv,86,4,0,0,0,90,1,0
model154.csv,86,4,0,0,0,90,1,0
model155.csv,85,5,0,0,0,90,1,0
model156.csv,79,7,4,0,0,90,1,0
model157.csv,77,8,5,0,0,90,1,0
model158.csv,82,7,1,0,0,90,1,0
model159.csv,81,4,5,0,0,90,1,0
model160.csv,80,6,4,0,0,90,1,0
model161.csv,75,13,2,0,0,90,1,0
model162.csv,79,9,2,0,0,90,1,0
model163.csv,79,9,2,0,0,90,1,0
model164.csv,78,11,1,0,0,90,1,0
model165.csv,79,7,3,1,1,90,2,0
model166.csv,81,4,4,1,1,90,2,0
model167.csv,80,6,3,1,1,90,2,0
model168.csv,72,11,6,1,1,90,2,0
model169.csv,68,14,5,3,3,90,2,0
model170.csv,90,0,0,0,0,90,1,0
model171.csv,83,3,4,0,0,90,1,0
model172.csv,82,0,8,0,0,90,1,0
model173.csv,78,0,12,0,0,90,1,0
model174.csv,80,4,6,0,0,90,1,0
model175.csv,78,4,8,0,0,90,1,0
model176.csv,86,4,0,0,0,90,1,0
model177.csv,84,6,0,0,0,90,1,0
model178.csv,86,4,0,0,0,90,1,0
model179.csv,85,5,0,0,0,90,1,0
model180.csv,85,5,0,0,0,90,1,0
model181.csv,84,6,0,0,0,90,1,0
model182.csv,82,6,2,0,0,90,1,0
model183.csv,82,7,1,0,0,90,1,0
model184.csv,86,3,1,0,0,90,1,0
model185.csv,86,3,1,0,0,90,1,0
model186.csv,86,3,1,0,0,90,1,0
model187.csv,85,5,0,0,0,90,1,0
model188.csv,77,7,5,1,1,90,2,0
model189.csv,76,12,2,0,0,90,1,0
model190.csv,81,7,2,0,0,90,1,0
model191.csv,80,8,2,0,0,90,1,0
model192.csv,80,8,2,0,0,90,1,0
model193.csv,79,10,1,0,0,90,1,0
model194.csv,80,7,3,0,0,90,1,0
model195.csv,81,6,3,0,0,90,1,0
model196.csv,83,4,3,0,0,90,1,0
model197.csv,82,6,2,0,0,90,1,0
model198.csv,78,4,6,2,2,90,2,0
model199.csv,78,9,2,1,1,90,2,0
model200.csv,81,5,4,0,0,90,1,0
model201.csv,80,8,2,0,0,90,1,0
model202.csv,81,1,8,0,0,90,1,0
model203.csv,81,4,5,0,0,90,1,0
model204.csv,83,4,3,0,0,90,1,0
model205.csv,82,4,4,0,0,90,1,0
model206.csv,77,4,9,0,0,90,1,0
model207.csv,77,7,6,0,0,90,1,0
model208.csv,79,5,6,0,0,90,1,0
model209.csv,78,7,5,0,0,90,1,0
model210.csv,81,3,6,0,0,90,1,0
model211.csv,76,4,6,4,4,90,2,0
model212.csv,81,0,9,0,0,90,1,0
model213.csv,77,1,10,2,2,90,2,0
model214.csv,82,3,5,0,0,90,1,0
model215.csv,78,6,4,2,2,90,2,0
model216.csv,83,1,6,0,0,90,1,0
model217.csv,80,4,6,0,0,90,1,0
model218.csv,78,2,10,0,0,90,1,0
model219.csv,75,5,10,0,0,90,1,0
model220.csv,80,7,3,0,0,90,1,0
model221.csv,74,8,4,4,4,90,2,0
model222.csv,82,5,3,0,0,90,1,0
model223.csv,78,5,5,2,2,90,2,0
model224.csv,81,6,3,0,0,90,1,0
model225.csv,75,7,4,4,4,90,2,0
model226.csv,84,6,0,0,0,90,1,0
model227.csv,80,3,5,2,2,90,2,0
model228.csv,80,6,4,0,0,90,1,0
model229.csv,76,6,6,2,2,90,2,0
model230.csv,90,0,0,0,0,90,1,0
model231.csv,85,3,2,0,0,90,1,0
model232.csv,88,2,0,0,0,90,1,0
model233.csv,87,3,0,0,0,90,1,0
model234.csv,86,4,0,0,0,90,1,0
model235.csv,86,3,1,0,0,90,1,0
model236.csv,84,4,2,0,0,90,1,0
model237.csv,84,5,1,0,0,90,1,0
model238.csv,85,5,0,0,0,90,1,0
model239.csv,84,4,1,1,1,90,2,0
model240.csv,86,3,1,0,0,90,1,0
model241.csv,86,4,0,0,0,90,1,0
model242.csv,90,0,0,0,0,90,1,0
model243.csv,89,1,0,0,0,90,1,0
model244.csv,87,3,0,0,0,90,1,0
model245.csv,87,3,0,0,0,90,1,0
model246.csv,84,5,1,0,0,90,1,0
model247.csv,83,6,1,0,0,90,1,0
model248.csv,89,1,0,0,0,90,1,0
model249.csv,88,2,0,0,0,90,1,0
model250.csv,88,2,0,0,0,90,1,0
model251.csv,87,3,0,0,0,90,1,0
model252.csv,88,2,0,0,0,90,1,0
model253.csv,87,3,0,0,0,90,1,0
model254.csv,89,1,0,0,0,90,1,0
model255.csv,88,2,0,0,0,90,1,0
model256.csv,87,1,2,0,0,90,1,0
model257.csv,74,10,6,0,0,90,1,0
model258.csv,81,5,4,0,0,90,1,0
model259.csv,80,6,4,0,0,90,1,0
model260.csv,78,8,4,0,0,90,1,0
model261.csv,78,7,5,0,0,90,1,0
model262.csv,73,11,5,1,1,90,2,0
model263.csv,73,12,3,2,2,90,2,0
model264.csv,74,13,3,0,0,90,1,0
model265.csv,72,13,4,1,1,90,2,0
model266.csv,80,7,3,0,0,90,1,0
model267.csv,79,9,2,0,0,90,1,0
model268.csv,84,5,1,0,0,90,1,0
model269.csv,82,7,1,0,0,90,1,0
model270.csv,81,7,2,0,0,90,1,0
model271.csv,80,8,2,0,0,90,1,0
model272.csv,80,6,4,0,0,90,1,0
model273.csv,77,6,7,0,0,90,1,0
model274.csv,86,4,0,0,0,90,1,0
model275.csv,83,7,0,0,0,90,1,0
model276.csv,84,6,0,0,0,90,1,0
model277.csv,81,5,4,0,0,90,1,0
model278.csv,84,4,2,0,0,90,1,0
model279.csv,80,5,5,0,0,90,1,0
model280.csv,85,4,1,0,0,90,1,0
model281.csv,81,3,6,0,0,90,1,0
model282.csv,71,11,6,2,2,90,2,0
model283.csv,69,14,5,2,2,90,2,0
model284.csv,77,10,3,0,0,90,1,0
model285.csv,75,13,2,0,0,90,1,0
model286.csv,77,9,4,0,0,90,1,0
model287.csv,75,11,4,0,0,90,1,0
model288.csv,76,10,4,0,0,90,1,0
model289.csv,73,14,3,0,0,90,1,0
model290.csv,79,8,3,0,0,90,1,0
model291.csv,76,11,3,0,0,90,1,0
model292.csv,89,1,0,0,0,90,1,0
model293.csv,79,7,4,0,0,90,1,0
model294.csv,83,5,2,0,0,90,1,0
model295.csv,82,6,2,0,0,90,1,0
model296.csv,83,5,2,0,0,90,1,0
model297.csv,83,4,3,0,0,90,1,0
model298.csv,76,8,6,0,0,90,1,0
model299.csv,75,9,6,0,0,90,1,0
model300.csv,79,11,0,0,0,90,1,0
model301.csv,78,10,1,1,1,90,2,0
model302.csv,81,7,2,0,0,90,1,0
model303.csv,80,8,2,0,0,90,1,0
model304.csv,85,5,0,0,0,90,1,0
model305.csv,82,4,2,2,2,90,2,0
model306.csv,81,7,2,0,0,90,1,0
model307.csv,79,6,3,2,2,90,2,0
model308.csv,79,7,3,1,1,90,2,0
model309.csv,79,10,1,0,0,90,1,0
model310.csv,84,5,1,0,0,90,1,0
model311.csv,83,6,1,0,0,90,1,0
model312.csv,83,6,1,0,0,90,1,0
model313.csv,83,6,1,0,0,90,1,0
model314.csv,78,9,3,0,0,90,1,0
model315.csv,74,10,6,0,0,90,1,0
model316.csv,83,6,1,0,0,90,1,0
model317.csv,79,10,1,0,0,90,1,0
model318.csv,81,8,1,0,0,90,1,0
model319.csv,77,8,5,0,0,90,1,0
model320.csv,82,6,2,0,0,90,1,0
model321.csv,77,8,5,0,0,90,1,0
model322.csv,82,6,2,0,0,90,1,0
model323.csv,77,6,7,0,0,90,1,0
model324.csv,89,1,0,0,0,90,1,0
model325.csv,81,5,4,0,0,90,1,0
model326.csv,81,5,4,0,0,90,1,0
model327.csv,78,6,6,0,0,90,1,0
model328.csv,79,4,7,0,0,90,1,0
model329.csv,74,9,7,0,0,90,1,0
model330.csv,79,11,0,0,0,90,1,0
model331.csv,83,5,2,0,0,90,1,0
model332.csv,87,3,0,0,0,90,1,0
model333.csv,83,5,2,0,0,90,1,0
model334.csv,76,9,4,1,1,90,2,0
model335.csv,81,8,1,0,0,90,1,0
model336.csv,79,6,3,2,2,90,2,0
model337.csv,79,8,3,0,0,90,1,0
model338.csv,78,6,4,2,2,90,2,0
model339.csv,79,6,4,1,1,90,2,0
model340.csv,79,8,1,2,2,90,2,0
model341.csv,78,3,9,0,0,90,1,0
model342.csv,78,5,4,3,3,90,2,0
model343.csv,79,6,4,1,1,90,2,0
model344.csv,77,9,3,1,1,90,2,0
model345.csv,81,7,2,0,0,90,1,0
model346.csv,79,9,2,0,0,90,1,0
model347.csv,80,5,3,2,2,90,2,0
model348.csv,78,7,3,2,2,90,2,0
model349.csv,82,5,2,1,1,90,2,0
model350.csv,80,7,2,1,1,90,2,0
model351.csv,79,6,5,0,0,90,1,0
model352.csv,77,8,5,0,0,90,1,0
model353.csv,80,6,4,0,0,90,1,0
model354.csv,78,8,4,0,0,90,1,0
model355.csv,88,2,0,0,0,90,1,0
model356.csv,79,7,4,0,0,90,1,0
model357.csv,84,4,2,0,0,90,1,0
model358.csv,78,10,2,0,0,90,1,0
model359.csv,78,9,3,0,0,90,1,0
model360.csv,79,9,2,0,0,90,1,0
model361.csv,78,11,1,0,0,90,1,0
model362.csv,80,9,0,1,1,90,2,0
model363.csv,76,6,4,4,4,90,2,0
model364.csv,73,14,3,0,0,90,1,0
model365.csv,71,15,2,2,2,90,2,0
model366.csv,80,8,2,0,0,90,1,0
model367.csv,78,11,1,0,0,90,1,0
model368.csv,80,8,1,1,1,90,2,0
model369.csv,74,12,4,0,0,90,1,0
model370.csv,68,15,7,0,0,90,1,0
model371.csv,78,9,3,0,0,90,1,0
model372.csv,73,12,5,0,0,90,1,0
model373.csv,74,13,2,1,1,90,2,0
model374.csv,68,15,4,3,3,90,2,0
model375.csv,89,0,1,0,0,90,1,0
model376.csv,82,3,5,0,0,90,1,0
model377.csv,83,2,5,0,0,90,1,0
model378.csv,80,3,7,0,0,90,1,0
model379.csv,77,4,9,0,0,90,1,0
model380.csv,75,3,12,0,0,90,1,0
model381.csv,79,9,2,0,0,90,1,0
model382.csv,83,5,1,1,1,90,2,0
model383.csv,73,7,10,0,0,90,1,0
model384.csv,71,6,11,2,2,90,2,0
model385.csv,79,8,3,0,0,90,1,0
model386.csv,79,8,3,0,0,90,1,0
model387.csv,82,6,2,0,0,90,1,0
model388.csv,80,5,3,2,2,90,2,0
model389.csv,78,3,9,0,0,90,1,0
model390.csv,76,3,10,1,1,90,2,0
model391.csv,82,4,4,0,0,90,1,0
model392.csv,80,6,3,1,1,90,2,0
model393.csv,78,0,12,0,0,90,1,0
model394.csv,76,2,9,3,3,90,2,0
model395.csv,81,6,3,0,0,90,1,0
model396.csv,78,8,4,0,0,90,1,0
model397.csv,82,6,2,0,0,90,1,0
model398.csv,79,5,6,0,0,90,1,0
model399.csv,83,2,5,0,0,90,1,0
model400.csv,79,4,7,0,0,90,1,0
model401.csv,84,2,4,0,0,90,1,0
model402.csv,80,1,9,0,0,90,1,0
model403.csv,80,5,4,1,1,90,2,0
model404.csv,81,6,3,0,0,90,1,0
model405.csv,85,3,2,0,0,90,1,0
model406.csv,82,5,3,0,0,90,1,0
model407.csv,85,3,2,0,0,90,1,0
model408.csv,82,2,6,0,0,90,1,0
model409.csv,80,4,6,0,0,90,1,0
model410.csv,76,4,10,0,0,90,1,0
model411.csv,80,5,5,0,0,90,1,0
model412.csv,76,3,11,0,0,90,1,0
model413.csv,73,11,4,2,2,90,2,0
model414.csv,73,11,5,1,1,90,2,0
model415.csv,77,10,3,0,0,90,1,0
model416.csv,76,11,3,0,0,90,1,0
model417.csv,73,4,11,2,2,90,2,0
model418.csv,79,8,3,0,0,90,1,0
model419.csv,78,10,2,0,0,90,1,0
model420.csv,75,3,12,0,0,90,1,0
model421.csv,75,5,10,0,0,90,1,0
model422.csv,87,1,2,0,0,90,1,0
model423.csv,74,6,10,0,0,90,1,0
model424.csv,81,5,4,0,0,90,1,0
model425.csv,80,8,2,0,0,90,1,0
model426.csv,75,5,9,1,1,90,2,0
model427.csv,73,5,9,3,3,90,2,0
model428.csv,71,5,14,0,0,90,1,0
model429.csv,70,6,13,1,1,90,2,0
model430.csv,72,9,8,1,1,90,2,0
model431.csv,69,9,9,3,3,90,2,0
model432.csv,77,6,5,2,2,90,2,0
model433.csv,75,7,4,4,4,90,2,0
model434.csv,70,11,5,4,4,90,2,0
model435.csv,61,9,11,9,9,90,2,0
model436.csv,88,1,1,0,0,90,1,0
model437.csv,77,4,9,0,0,90,1,0
model438.csv,80,5,5,0,0,90,1,0
model439.csv,77,6,7,0,0,90,1,0
model440.csv,80,9,1,0,0,90,1,0
model441.csv,78,6,5,1,1,90,2,0
model442.csv,80,5,5,0,0,90,1,0
model443.csv,78,5,6,1,1,90,2,0
model444.csv,72,5,13,0,0,90,1,0
model445.csv,70,6,13,1,1,90,2,0
model446.csv,73,9,7,1,1,90,2,0
model447.csv,70,9,8,3,3,90,2,0
model448.csv,72,7,10,1,1,90,2,0
model449.csv,72,6,10,2,2,90,2,0
model450.csv,75,7,7,1,1,90,2,0
model451.csv,74,11,5,0,0,90,1,0
model452.csv,80,7,3,0,0,90,1,0
model453.csv,77,8,3,2,2,90,2,0
model454.csv,80,7,3,0,0,90,1,0
model455.csv,78,7,3,2,2,90,2,0
model456.csv,76,7,7,0,0,90,1,0
model457.csv,74,9,5,2,2,90,2,0
model458.csv,73,11,6,0,0,90,1,0
model459.csv,68,12,10,0,0,90,1,0
model460.csv,76,13,1,0,0,90,1,0
model461.csv,71,14,5,0,0,90,1,0
model462.csv,67,15,5,3,3,90,2,0
model463.csv,74,11,5,0,0,90,1,0
model464.csv,71,11,8,0,0,90,1,0
model465.csv,78,11,1,0,0,90,1,0
model466.csv,75,11,4,0,0,90,1,0
model467.csv,78,12,0,0,0,90,1,0
model468.csv,74,11,3,2,2,90,2,0
model469.csv,72,12,6,0,0,90,1,0
model470.csv,65,14,9,2,2,90,2,0
model471.csv,75,8,7,0,0,90,1,0
model472.csv,73,8,9,0,0,90,1,0
model473.csv,81,8,1,0,0,90,1,0
model474.csv,79,11,0,0,0,90,1,0
model475.csv,80,9,1,0,0,90,1,0
model476.csv,78,8,4,0,0,90,1,0
model477.csv,76,8,6,0,0,90,1,0
model478.csv,78,4,8,0,0,90,1,0
model479.csv,76,7,7,0,0,90,1,0
model480.csv,75,7,8,0,0,90,1,0
model481.csv,82,7,1,0,0,90,1,0
model482.csv,81,9,0,0,0,90,1,0
model483.csv,81,8,1,0,0,90,1,0
model484.csv,80,7,3,0,0,90,1,0
model485.csv,82,7,1,0,0,90,1,0
model486.csv,79,10,1,0,0,90,1,0
model487.csv,84,5,1,0,0,90,1,0
model488.csv,81,5,4,0,0,90,1,0
model489.csv,79,5,6,0,0,90,1,0
model490.csv,76,6,8,0,0,90,1,0
model491.csv,81,5,4,0,0,90,1,0
model492.csv,78,4,8,0,0,90,1,0
model493.csv,72,10,7,1,1,90,2,0
model494.csv,68,10,12,0,0,90,1,0
model495.csv,78,7,5,0,0,90,1,0
model496.csv,74,8,8,0,0,90,1,0
model497.csv,77,8,5,0,0,90,1,0
model498.csv,73,10,7,0,0,90,1,0
model499.csv,76,10,4,0,0,90,1,0
model500.csv,72,10,8,0,0,90,1,0
model501.csv,78,8,4,0,0,90,1,0
model502.csv,74,10,6,0,0,90,1,0
model503.csv,73,8,8,1,1,90,2,0
model504.csv,68,8,14,0,0,90,1,0
model505.csv,79,6,5,0,0,90,1,0
model506.csv,75,6,9,0,0,90,1,0
model507.csv,78,7,5,0,0,90,1,0
model508.csv,74,7,9,0,0,90,1,0
model509.csv,78,8,4,0,0,90,1,0
model510.csv,74,8,8,0,0,90,1,0
model511.csv,80,6,4,0,0,90,1,0
model512.csv,76,7,7,0,0,90,1,0
model513.csv,76,9,5,0,0,90,1,0
model514.csv,71,9,10,0,0,90,1,0
model515.csv,78,9,3,0,0,90,1,0
model516.csv,73,9,8,0,0,90,1,0
